"","dtract","x","y","X","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....Retail.trade"
"465",519.13,-122.26827399,47.79996315,682,2079,212,222
"466",519.14,-122.27271085,47.78430069,692,2161,209,315
"467",519.15,-122.24665647,47.80603851,702,3923,269,618
"468",519.16,-122.22919153,47.799755,714,1976,202,210
"469",519.17,-122.24522161,47.78398654,722,1943,187,223
"470",519.18,-122.21438595,47.7834126,732,2665,237,360
"471",519.21,-122.22048479,47.82084533,742,2457,239,269
"472",519.22,-122.22485393,47.81105736,752,2118,218,200
"473",519.23,-122.2090266,47.832748,762,2136,275,240
"474",519.24,-122.19622346,47.81891518,772,3624,273,391
"475",519.25,-122.19103376,47.79492196,782,3843,362,508
"476",519.26,-122.16196754,47.79372161,792,2387,275,171
"477",519.27,-122.23818152,47.83544002,802,2379,202,297
"478",519.28,-122.2480889,47.84340586,814,2592,478,261
"479",520.03,-122.17788477,47.85601014,822,4519,344,414
"480",520.04,-122.20301503,47.87060318,832,2723,361,175
"481",520.05,-122.2038658,47.8578832,842,2661,272,266
"482",520.06,-122.1963266,47.84947182,852,2259,214,232
"483",520.07,-122.19934273,47.83950331,862,2594,198,359
"484",521.04,-122.16760962,47.99211766,872,1533,215,77
"485",521.05,-122.0913697,47.87927282,882,965,154,57
"486",521.07,-122.15578227,47.82420158,892,2301,175,220
"487",521.08,-122.10275737,47.83122241,902,3083,315,402
"488",521.12,-122.07157681,47.80147722,914,1352,125,137
"490",521.14,-122.15492814,47.85065813,932,2547,204,300
"492",521.18,-122.13196002,47.8662975,952,3502,294,353
"493",522.03,-121.98003814,47.87821863,962,2824,193,338
"494",522.04,-122.01838948,47.86676783,972,3063,307,414
"495",522.06,-121.9407982,47.92326953,982,2043,250,339
"496",522.07,-121.87767415,47.90193066,992,2862,323,251
"497",522.08,-121.98453168,47.85643987,1002,1605,276,172
